onchain_builder_project_id,devtooling_project_id,dependency_source
StnODj2T1drIJcK+z2aBzDE24ESuwtsin9NrqKOTWug=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
CbRyy79gatzGD0GyjO3wI5+BCx+1bVF7fTLBhwzxUoE=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
iaCxomKbziHx/iiLlm9VAiA7rBKvS2KVUXZm9hL2hh8=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
sk6r7ZPWQ+01BAtVpIaK6uoxXW4vIY7S6x1ygr3870Y=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
CbRyy79gatzGD0GyjO3wI5+BCx+1bVF7fTLBhwzxUoE=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,1qHxV/lCiMRcqQSplNxBO28gExEmQ4Rky19slLkFTbk=,NPM
87Uygt4CNKHiBhvGlVmFtfsKiPrxJiEXWcRnubfQUpg=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
Zy6ZHnI5FaGA6G9Pm0+DxqvFg3pcni2pcNqd6VPbsG8=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
lY3hN7xGe8jTGb9c9z2Sa6r2PmBV+FG9WJmC8Xwe46s=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
jcUDyxHNXWzjYk5a/zXuShEfIvBto8zfQ0k8Q8BMpao=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,kIyB4KSX790MWeIzhuzNRuURff8uRN3K7uEmYc+PuqA=,NPM
UFXNRBcMQFR5sO8mg3+DC5YIMeVl8+vAc6Mv/BxIlsQ=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
sk6r7ZPWQ+01BAtVpIaK6uoxXW4vIY7S6x1ygr3870Y=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,H2p6ZEPnv576Z8J4kfoovzAtg0SAMqG/HzQDAoZkJOA=,RUST
87Uygt4CNKHiBhvGlVmFtfsKiPrxJiEXWcRnubfQUpg=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
iRaBLB7lJ+GqQdYE+XObb9qCYRXBY45C+Goe65k5z4U=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
ExxaaR22Tn/4Q9iPwgzHc0FARRe+To/T1HFPcSJqi68=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
jcUDyxHNXWzjYk5a/zXuShEfIvBto8zfQ0k8Q8BMpao=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
