project_id,project_name,display_name,fork_count,star_count,num_packages_in_deps_dev
0QDHCcYryW4ErxzFqgrNhwrSP5sITsMcPXLS2kVE2zM=,0x8af71ece7f50d6962b589b19854ceac72b81e5f5b3014637b262c33809d5a395,K Semantics of the Ethereum Virtual Machine (EVM),10,37,0
sZQ3Kp1sgCPf39oJ1DWrfCgdlSzbnWJ7rflGyJ7sECQ=,0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,17,35,9
1qHxV/lCiMRcqQSplNxBO28gExEmQ4Rky19slLkFTbk=,0x37fe5886f4c77d5a5cb947deff90158c045a5d207572763187748ac4dd4bd9b9,ethereum-multicall,10,33,28
hZzfke/NjszziMEDX794UiUnSUmhtA67arwyY7kV9GY=,0x2704cd27b8c60b098d4fe8c5c0fbae2f8f5fe9067c687c501a4c6dc6e9887876,Act,10,33,1
wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,0xc2d8139cd61ddc75689610ee0cca0fe37ba8bec3270beb6aac6eac91c6256f60,hardhat-gas-reporter,8,33,5
j5WOiieuifGu5aqVNxwahWleSq38LxA9SB3hMq2ZWU4=,0x8c0365628d69981ac162a89f2b391cc4adfd224e9a424f8e985e70e2421de6d1,SuperUI - UI for Supersim,5,33,0
aAchjwkoUEQQyZsGvrYCDiDuAqFxemzS61Mqtb4pcLA=,0xbe74d6076f833da93276495074d0356db90c495d3257f8958853e75e9df8e9c8,Web3GPT,20,33,1
+ggFP7iiESvvHcrscQpCky9DBh+lBYC2xJziZ43DKsk=,0xeef42373d10554d65aba9e6deb8333a4eddebba829e0afea0dc93e32d8075d2d,ERCx: Token Test Library,1,31,0
enkdgs2+Pq0SIhMnmn6Oe14mBalALDczALJpqB59xLo=,0x45a05710ec665203dc05dfb3024e42532468fa6b75e6927c2da539d7fcac4f4f,Open Labels Initiative,9,30,1
vvd53Q/49SJ6mNQXcn67dlUHSbExIKjGDsZbloH8R6g=,0x5f9f1b45eb4a49e8c2482288e02c8fc1e0e60ad3e88f0ea87bbdb4932da1054d,Diamondscaffold: Simplifying EIP-2535 Diamond Architecture Development,6,30,1
g7Mm9ljqYwbSxWgNeCIVPfpNCiIBakHIjU4brUguhLw=,0x7cbd306b4b54416b83eb723a79b88d09554e245b1d7b29e7e4b7958ca1011d1f,ethdebug,6,30,1
g1pi0NuLcPtSAjpxGRMTIM2ZRs5y6h3IpcW0PRKvSQo=,0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c,Multicaller,4,30,1
D/phNjIkMkuESYi0XbICo299wHOagQbo2WSAyODxDp0=,0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,Stargate Finance,15,30,0
3dlgjDAADCc9F7hy3fvjnzqyyVLYSuOy8RiCrwiMazk=,0x7504e494cb8d227193182e083128912173c14eaeecec9b90fa453de28377b269,Hermes - a GossipSub listener and tracer for libp2p-based networks.,1,29,1
tEUQBjhYBdWaLRVt375K9avn6ysFWbvqZz85jmaPR2w=,0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,deBridge,13,29,2
IqEX7DRaYV0Pl6ewCpPUvpvle/3Y3joI8ezX2StZb+8=,0x4e13be6b98dd868cd13e9f4101431ab03d211f429b63f078fa7da260b54d256a,Light Account,13,29,0
/k/aTpjwBcMKEYX6yOt7DnRp5lT1VKPTRe5SSqpWhV8=,0x537097f27d55cb52d39b95c3ed65076349ab68aac48051d742d715456e0884d8,xdeployer,4,28,2
oHjF8SsuGDWxTvoPCPaIvBwN3PWiaZiNtVt0ZorFYto=,0x85f58c1ce6ef97a8b2f4fd2b0cf4099798a598a02da7a0d2fc53ef75b5fb7fcb,discord-deepseek-r1-bot,3,26,0
rgW9XUaoeC3X2rOz6QwddbUq6mZva0eXEFISFkuO+nA=,0xa08c7ab7824d147d6cb87ffb4e86cec454a030d48b8c395bad6d64456be3d911,Aragon OSx,41,26,14
vkAGsIYeAqlNsG1s6KG5Yp7APsJBiMNYe6kFImJjwXE=,0xe40733f18903b26f7880bb2fd78c39f3992efe9f8b2e89994c2869eeb3ba4470,Chain Abstraction with 4337,20,26,1
mEvrDRjUXToNsXd9iYHuzB+iQr1YbbvKBy2OBObD31E=,0xc66e357ad67e63954cd1eb79da4d507d8800518f06c82e423e93e8771e7b8d13,Brahma,14,25,1
dHG9BVIVFXaWxD8I7WDLSz0K+GMdyGt/a1eJ3IQ+lYw=,0xbcfa7063514406f498f2792ae6435bf488709709391cebfa260a552703b4a8f9,GDWeb3,2,25,0
